"ID","Sex","BirthYear","Status","Year","Age","Weight","PopSize","Survival","UniqueExtractionID","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person","DateCollect_dmy","MonthofCollection"
9211,"F",2013,"Alive",2014,1,17.45,482,1,2437,51,"B",0,1.86030069827173,"19-Aug-14","30-Aug-14",1,200,NA,900,0,0,0,2,"JGP","2014-08-19",8
9211,"F",2013,"Alive",2015,2,20.15,513,1,3265,68,"H",0,1.72778358528721,"17-Aug-15","24-Aug-15",1.5,0,0,400,0,0,0,2,"JGP","2015-08-17",8
9212,"F",2013,"Alive",2013,0,15.4,545,1,1696,36,"F",0,1.4959023411096,"20-Aug-13","29-Aug-13",1.5,400,NA,3700,0,0,0,2,"JGP","2013-08-20",8
9212,"F",2013,"Alive",2015,2,22.05,513,1,3829,80,"B",0,1.55404897353063,"17-Aug-15","24-Aug-15",2,300,0,300,0,0,0,2,"JGP","2015-08-17",8
9212,"F",2013,"Alive",2016,3,24.2,444,1,2012,42,"D",0,1.54908684228948,"22-Aug-16","03-Sep-16",2,300,0,200,0,0,0,2,"JGP","2016-08-22",8
9239,"F",2012,"Dead",2014,2,19.4,482,0,4198,89,"F",0,1.36546480206102,"09-Aug-14","27-Aug-14",2,300,NA,1200,0,0,0,2,"JGP","2014-08-09",8
9244,"M",2013,"Alive",2016,3,31.9,444,1,2615,55,"F",0,1.81020408547045,"20-Aug-16","03-Sep-16",1.5,1000,0,200,0,0,0,2,"JGP","2016-08-20",8
9247,"M",2013,"Alive",2014,1,19.7,482,1,2557,53,"C",0,2.11711238303118,"12-Aug-14","30-Aug-14",3,200,NA,1600,0,0,0,2,"JGP","2014-08-12",8
9247,"M",2013,"Alive",2016,3,34.65,444,1,2280,48,"C",0,1.2854188597416,"14-Aug-16","31-Aug-16",3,100,0,600,0,0,0,2,"JGP","2016-08-14",8
9769,"F",2014,"Alive",2014,0,13.8,482,1,2651,55,"B",0,2.36056242743891,"09-Aug-14","28-Aug-14",1,500,NA,22000,0,0,0,2,"JGP","2014-08-09",8
