"ID","Sex","BirthYear","Status","DeathYear","Year","PopSize","Age","Weight","Survival","UniqueExtractionID","SampleYear","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person"
7245,"F",2009,"Dead",2016,2015,513,6,22.1,0,3529,2015,73,"C","0",1.80516326650611,"17-Aug-15","24-Aug-15",3,0,0,200,0,0,0,2,"JGP"
7246,"F",2009,"Dead",2010,2009,617,0,9.7,0,868,2009,19,"E","0",1.87914112240048,"17-Aug-09","01-Sep-09",1,200,NA,9600,0,0,0,2,"JGP"
7248,"M",2009,"Dead",2010,2009,617,0,10.7,0,4013,2009,85,"C","0",1.89224827337051,"12-Aug-09","30-Aug-09",1,600,NA,200,0,0,0,2,"JGP"
7249,"F",2009,"Dead",2010,2009,617,0,7.9,0,3914,2009,83,"G","0",1.74351818314079,"12-Aug-09","30-Aug-09",1,1400,NA,600,0,0,0,2,"JGP"
7252,"F",2009,"Dead",2018,2009,617,0,11.8,1,355,2009,8,"F","0",1.55467517384153,"12-Aug-09","28-Aug-09",1,600,NA,14800,0,0,0,2,"JGP"
7252,"F",2009,"Dead",2018,2014,482,5,23.3,1,2192,2014,46,"B","0",1.76657191416063,"09-Aug-14","27-Aug-14",3,0,NA,600,0,0,0,2,"JGP"
7252,"F",2009,"Dead",2018,2015,513,6,21.7,1,3187,2015,66,"A","0",1.69683875915871,"10-Aug-15","24-Aug-15",1.5,100,0,1200,0,0,0,2,"JGP"
7254,"M",2009,"Dead",2010,2009,617,0,10.1,0,142,2009,3,"G","0",1.84177993966636,"13-Aug-09","31-Aug-09",1,1000,NA,5400,0,0,0,2,"JGP"
7256,"M",2009,"Dead",2016,2009,617,0,15.8,1,109,2009,3,"F","0",1.83790167107694,"18-Aug-09","01-Sep-09",1,200,NA,7200,0,0,0,2,"JGP"
7256,"M",2009,"Dead",2016,2012,362,3,35,1,402,2012,9,"F","0",1.64094453470205,"15-Aug-12","28-Aug-12",2,200,NA,400,0,0,0,2,"JGP"
